key,press_time,release_time,platform_id,session_id,user_ids
'w',1.653421325394422e+18,1.653421325554306e+18,1,1,1
'a',1.653421325474559e+18,1.65342129521936e+18,1,1,1
't',1.653421325978299e+18,1.653421326082423e+18,1,1,1
'c',1.653421326402303e+18,1.653421295107379e+18,1,1,1
'h',1.653421326554148e+18,1.653421326658254e+18,1,1,1
'e',1.653421326714507e+18,1.653421326890299e+18,1,1,1
'd',1.653421326794325e+18,1.653421326938505e+18,1,1,1
'.',1.653421327929942e+18,1.6534213280016e+18,1,1,1
Key.space,1.653421328530221e+18,1.653421328610146e+18,1,1,1
Key.shift,1.653421333082215e+18,1.653421333361935e+18,1,1,1
'I',1.653421333282094e+18,1.653421339497909e+18,1,1,1
't',1.653421333586089e+18,1.65342133369814e+18,1,1,1
Key.space,1.653421333706082e+18,1.65342133380199e+18,1,1,1
'w',1.653421333890161e+18,1.653421333993421e+18,1,1,1
'a',1.653421333978067e+18,1.65342131786679e+18,1,1,1
's',1.653421334098595e+18,1.653421334210043e+18,1,1,1
Key.space,1.653421334217999e+18,1.653421334314251e+18,1,1,1
'v',1.653421334386222e+18,1.653421334530123e+18,1,1,1
'e',1.653421334458129e+18,1.653421334634254e+18,1,1,1
'r',1.653421334554211e+18,1.653421334681742e+18,1,1,1
'y',1.653421334649618e+18,1.653421334730124e+18,1,1,1
Key.space,1.653421334882089e+18,1.653421334970117e+18,1,1,1
'e',1.653421335114033e+18,1.653421335241309e+18,1,1,1
'm',1.653421335225997e+18,1.653421335306076e+18,1,1,1
'o',1.653421335417972e+18,1.653421335481987e+18,1,1,1
't',1.65342133557017e+18,1.653421335681986e+18,1,1,1
'i',1.653421335690004e+18,1.653421333369965e+18,1,1,1
Key.backspace,1.653421336105945e+18,1.653421341345829e+18,1,1,1
Key.backspace,1.653421336258022e+18,1.653421341473781e+18,1,1,1
't',1.653421336930166e+18,1.653421337057944e+18,1,1,1
'i',1.653421337066023e+18,1.653421335777997e+18,1,1,1
'o',1.653421337217951e+18,1.653421337321518e+18,1,1,1
'n',1.653421337297875e+18,1.653421337386855e+18,1,1,1
'a',1.653421337386187e+18,1.653421325594302e+18,1,1,1
'l',1.653421337513915e+18,1.65342133757811e+18,1,1,1
'l',1.65342133764977e+18,1.653421337729818e+18,1,1,1
'y',1.653421337777905e+18,1.653421337898054e+18,1,1,1
Key.space,1.653421337898692e+18,1.653421337970035e+18,1,1,1
'h',1.653421338097845e+18,1.653421338137996e+18,1,1,1
'e',1.653421338177965e+18,1.653421338266065e+18,1,1,1
'a',1.65342133841746e+18,1.653421334170113e+18,1,1,1
'v',1.653421338489891e+18,1.653421338625193e+18,1,1,1
'y',1.653421338601864e+18,1.653421338665974e+18,1,1,1
Key.space,1.653421338777867e+18,1.65342133885797e+18,1,1,1
'a',1.65342133888196e+18,1.653421337489905e+18,1,1,1
'n',1.653421338994696e+18,1.653421339058319e+18,1,1,1
'd',1.653421339057849e+18,1.653421339114074e+18,1,1,1
Key.space,1.653421339169943e+18,1.653421339201839e+18,1,1,1
Key.shift,1.653421339266165e+18,1.653421339537908e+18,1,1,1
'I',1.653421339417931e+18,1.653421411111467e+18,1,1,1
Key.space,1.653421339601833e+18,1.653421339681906e+18,1,1,1
'c',1.653421339714052e+18,1.65342132422571e+18,1,1,1
'o',1.65342133980986e+18,1.653421339921847e+18,1,1,1
'u',1.653421339857912e+18,1.653421339953889e+18,1,1,1
'l',1.653421340057906e+18,1.653421340145918e+18,1,1,1
'd',1.653421340186522e+18,1.653421340305788e+18,1,1,1
Key.space,1.653421340313588e+18,1.653421340393927e+18,1,1,1
Key.backspace,1.653421340657901e+18,1.653421356248906e+18,1,1,1
Key.backspace,1.653421340817876e+18,1.653421356465299e+18,1,1,1
Key.backspace,1.653421340969899e+18,1.653421356633298e+18,1,1,1
Key.backspace,1.653421341129884e+18,1.653421356809088e+18,1,1,1
Key.backspace,1.653421341281859e+18,1.65342136735295e+18,1,1,1
Key.backspace,1.653421341417849e+18,1.653421367528855e+18,1,1,1
'g',1.653421341553926e+18,1.653421341673323e+18,1,1,1
'o',1.653421341665757e+18,1.6534213417459e+18,1,1,1
't',1.653421341761586e+18,1.653421341865949e+18,1,1,1
Key.space,1.653421341873775e+18,1.653421341945737e+18,1,1,1
'a',1.653421342137973e+18,1.653421338537865e+18,1,1,1
Key.space,1.65342134226568e+18,1.653421342337814e+18,1,1,1
'v',1.653421342369718e+18,1.65342134249808e+18,1,1,1
'e',1.653421342473773e+18,1.653421342649817e+18,1,1,1
'r',1.653421342577926e+18,1.653421342697642e+18,1,1,1
'y',1.653421342665747e+18,1.653421342753867e+18,1,1,1
Key.space,1.653421342865812e+18,1.653421342937079e+18,1,1,1
's',1.65342134292166e+18,1.653421343001744e+18,1,1,1
't',1.653421343105766e+18,1.653421343249682e+18,1,1,1
'r',1.653421343161716e+18,1.653421343289806e+18,1,1,1
'o',1.653421343257758e+18,1.653421343377581e+18,1,1,1
'n',1.653421343353757e+18,1.653421343449032e+18,1,1,1
'g',1.653421343425838e+18,1.653421343537784e+18,1,1,1
Key.space,1.653421343545637e+18,1.653421343625725e+18,1,1,1
'f',1.653421343681795e+18,1.65342134381772e+18,1,1,1
'e',1.653421343777799e+18,1.653421343873838e+18,1,1,1
'e',1.653421343945893e+18,1.653421344057031e+18,1,1,1
'l',1.653421344033791e+18,1.653421344097686e+18,1,1,1
Key.space,1.653421344177626e+18,1.653421344257767e+18,1,1,1
'r',1.653421345377761e+18,1.653421345617529e+18,1,1,1
'e',1.65342134548167e+18,1.653421345625014e+18,1,1,1
'g',1.653421345593623e+18,1.653421345721836e+18,1,1,1
'a',1.653421345793718e+18,1.653421338993968e+18,1,1,1
'r',1.653421345929731e+18,1.653421346009759e+18,1,1,1
'd',1.653421346105659e+18,1.653421346225728e+18,1,1,1
'i',1.653421346305147e+18,1.653421337137995e+18,1,1,1
'n',1.653421346529688e+18,1.653421346609786e+18,1,1,1
'g',1.653421346641603e+18,1.653421346776953e+18,1,1,1
Key.space,1.653421346761699e+18,1.653421346857831e+18,1,1,1
't',1.653421349297662e+18,1.653421349401449e+18,1,1,1
'h',1.653421349409265e+18,1.653421349505022e+18,1,1,1
'e',1.653421349497487e+18,1.653421349633672e+18,1,1,1
Key.space,1.653421349601489e+18,1.653421349713537e+18,1,1,1
Key.backspace,1.653421353057341e+18,1.653421367696922e+18,1,1,1
Key.backspace,1.653421353558707e+18,1.653421367848847e+18,1,1,1
Key.backspace,1.653421353642038e+18,1.653421368016983e+18,1,1,1
Key.backspace,1.653421353726239e+18,1.653421369024713e+18,1,1,1
Key.backspace,1.65342135381058e+18,1.653421380168521e+18,1,1,1
Key.backspace,1.653421353894747e+18,1.653421380776389e+18,1,1,1
Key.backspace,1.653421353978253e+18,1.653421383560399e+18,1,1,1
Key.backspace,1.653421354061342e+18,1.653421387288194e+18,1,1,1
Key.backspace,1.653421354145717e+18,1.653421387423946e+18,1,1,1
Key.backspace,1.653421354229946e+18,1.653421409711531e+18,1,1,1
Key.backspace,1.653421354313807e+18,1.653421409871472e+18,1,1,1
Key.backspace,1.653421354397831e+18,1.653421410023421e+18,1,1,1
Key.backspace,1.653421354481229e+18,1.653421410175476e+18,1,1,1
Key.backspace,1.653421354565568e+18,1.653421410366993e+18,1,1,1
Key.backspace,1.653421354649066e+18,1.653421410807214e+18,1,1,1
Key.backspace,1.653421354732695e+18,1.653421437502524e+18,1,1,1
Key.backspace,1.653421354816803e+18,1.653421437662475e+18,1,1,1
Key.backspace,1.653421354901047e+18,1.653421437838514e+18,1,1,1
Key.backspace,1.653421354985231e+18,1.653421438030523e+18,1,1,1
Key.backspace,1.653421355068975e+18,1.653421438206415e+18,1,1,1
Key.backspace,1.653421355153276e+18,1.653421438374486e+18,1,1,1
Key.backspace,1.653421355237274e+18,1.653421438526373e+18,1,1,1
Key.backspace,1.653421355321598e+18,1.653421438694397e+18,1,1,1
Key.backspace,1.653421355404787e+18,1.653421458509734e+18,1,1,1
Key.backspace,1.653421355488558e+18,1.653421458661722e+18,1,1,1
Key.backspace,1.653421355572887e+18,1.653421458813586e+18,1,1,1
Key.backspace,1.65342135565718e+18,1.653421461589651e+18,1,1,1
Key.backspace,1.65342135574757e+18,1.65342146177309e+18,1,1,1
Key.backspace,1.653421355826177e+18,1.653421462477583e+18,1,1,1
Key.backspace,1.653421355908279e+18,1.653421462613654e+18,1,1,1
Key.backspace,1.653421355992697e+18,1.653421465749461e+18,1,1,1
Key.backspace,1.653421356077012e+18,1.653421465925472e+18,1,1,1
Key.backspace,1.653421356161301e+18,1.65342146608543e+18,1,1,1
Key.backspace,1.653421356245641e+18,1.653421510780045e+18,1,1,1
Key.backspace,1.653421356393328e+18,1.653421510924106e+18,1,1,1
Key.backspace,1.653421356553344e+18,1.653421511548014e+18,1,1,1
Key.backspace,1.653421356721242e+18,1.653421514955772e+18,1,1,1
'a',1.653421357401398e+18,1.653421342249526e+18,1,1,1
Key.space,1.65342135754528e+18,1.65342135764121e+18,1,1,1
'v',1.653421357745116e+18,1.653421357857356e+18,1,1,1
'e',1.653421357809196e+18,1.653421358001105e+18,1,1,1
'r',1.653421357913333e+18,1.653421358065322e+18,1,1,1
'y',1.653421358017025e+18,1.653421358097206e+18,1,1,1
Key.space,1.653421358233195e+18,1.653421358305181e+18,1,1,1
's',1.653421358321139e+18,1.653421358409303e+18,1,1,1
't',1.653421358521287e+18,1.653421358641296e+18,1,1,1
'r',1.653421358577271e+18,1.653421358681167e+18,1,1,1
'o',1.6534213586572e+18,1.65342135875319e+18,1,1,1
'n',1.653421358761056e+18,1.653421358833289e+18,1,1,1
'g',1.65342135885729e+18,1.6534213589769e+18,1,1,1
Key.space,1.653421358953241e+18,1.653421359041133e+18,1,1,1
'g',1.653421360201127e+18,1.653421360321317e+18,1,1,1
'l',1.653421360329168e+18,1.653421360385809e+18,1,1,1
'i',1.653421360497101e+18,1.653421346377622e+18,1,1,1
'm',1.653421360689222e+18,1.653421360753054e+18,1,1,1
'p',1.653421360865143e+18,1.65342136092921e+18,1,1,1
's',1.653421360936823e+18,1.653421361073185e+18,1,1,1
'e',1.653421361009205e+18,1.653421361128445e+18,1,1,1
Key.space,1.653421361105078e+18,1.653421361169069e+18,1,1,1
'i',1.653421361265234e+18,1.653421360577126e+18,1,1,1
